STUDYID	W2WEIGHT	W2COHORT	GEDUC1	GEDUC2	GEMPLOYMENT2010	GMETHOD_TYPE_W2	GMSANAME	GRUCA	GRUCA_I	GZIPCODE	GZIPSTATE	GCENDIV	GCENREG	GMILESAWAY	GMILESAWAY2	GRESPONDENT_DATE_W2	W2Q01	W2Q02	W2Q03	W2Q04	W2Q05	W2Q06	W2Q07	W2Q08	W2Q09	W2Q10	W2Q11	W2Q12	W2Q13	W2Q14	W2Q15	W2Q16	W2Q17	W2Q18	W2Q19A	W2Q19B	W2Q19C	W2Q19D	W2Q20	W2Q21	W2Q21_T_VERB	W2Q22_1	W2Q22_2	W2Q22_3	W2Q22_4	W2Q22_5	W2Q23A	W2Q23B	W2Q23C	W2Q23D	W2Q24	W2Q25	W2Q26	W2Q27	W2Q28	W2Q29A	W2Q29B	W2Q29C	W2Q29D	W2Q29E	W2Q29F	W2Q30	W2Q31	W2Q32	W2Q33	W2Q34	W2Q35	W2Q36	W2Q37	W2Q38	W2Q39	W2Q40	W2Q40_T_VERB	W2Q41	W2Q42	W2Q43A	W2Q43B	W2Q43C	W2Q43D	W2Q44	W2Q45	W2Q46	W2Q47	W2Q48	W2Q49	W2Q50	W2Q51	W2Q52	W2Q53	W2Q54	W2Q55	W2Q56	W2Q57	W2Q58_1	W2Q58_2	W2Q58_3	W2Q58_4	W2Q58_5	W2Q58_6	W2Q58_7	W2Q58_8	W2Q58_9	W2Q58_10	W2Q58_11	W2Q58_12	W2Q58_13	W2Q58_T_VERB	W2Q59	W2Q60_1	W2Q60_2	W2Q60_3	W2Q60_4	W2Q60_5	W2Q60_T_VERB	W2Q61	W2Q62_1	W2Q62_2	W2Q62_3	W2Q63_1	W2Q63_2	W2Q63_3	W2Q63_4	W2Q63_5	W2Q63_6	W2Q64	W2Q65	W2Q66	W2Q67A	W2Q67B	W2Q67C	W2Q67D	W2Q68_1	W2Q68_2	W2Q68_3	W2Q68_4	W2Q68_5	W2Q68_6	W2Q68_7	W2Q68_8	W2Q68_9	W2Q68_10	W2Q68_11	W2Q68_12	W2Q68_13	W2Q68_14	W2Q68_15	W2Q69_1	W2Q69_2	W2Q69_3	W2Q69_4	W2Q69_5	W2Q69_6	W2Q69_7	W2Q69_8	W2Q69_9	W2Q69_10	W2Q69_11	W2Q69_12	W2Q69_13	W2Q69_14	W2Q69_15	W2Q70	W2Q71	W2Q72	W2Q73	W2Q74	W2Q75	W2Q76	W2Q77	W2Q78	W2Q79	W2Q80	W2Q81_1	W2Q81_2	W2Q81_3	W2Q81_4	W2Q81_5	W2Q81_6	W2Q81_7	W2Q81_8	W2Q81_9	W2Q81_10	W2Q81_11	W2Q81_12	W2Q81_13	W2Q81_14	W2Q81_15	W2Q81_16	W2Q81_17	W2Q81_18	W2Q81_19	W2Q81_20	W2Q81_21	W2Q81_22	W2Q81_23	W2Q81_24	W2Q82	W2Q83	W2Q84A	W2Q84B	W2Q84C	W2Q84D	W2Q84E	W2Q84F	W2Q85	W2Q86	W2Q87	W2Q88	W2Q89	W2Q90	W2Q91	W2Q92	W2Q93	W2Q94	W2Q95	W2Q96	W2Q97	W2Q98	W2Q99	W2Q100	W2Q101	W2Q102	W2Q103	W2Q104	W2Q105	W2Q106A	W2Q106B	W2Q106C	W2Q106D	W2Q107	W2Q108	W2Q109	W2Q110	W2Q111	W2Q112	W2Q113	W2Q114	W2Q115	W2Q116	W2Q117	W2Q118	W2Q119	W2Q120	W2Q121	W2Q122A	W2Q122B	W2Q122C	W2Q122D	W2Q122E	W2Q122F	W2Q123_1	W2Q123_2	W2Q123_3	W2Q123_4	W2Q123_5	W2Q123_6	W2Q123_7	W2Q123_8	W2Q123_9	W2Q123_10	W2Q124	W2Q125	W2Q126_1	W2Q126_2	W2Q126_3	W2Q126_4	W2Q126_5	W2Q126_6	W2Q126_7	W2Q126_8	W2Q126_9	W2Q126_10	W2Q127	W2Q128_1	W2Q128_2	W2Q128_3	W2Q128_4	W2Q128_5	W2Q128_6	W2Q128_7	W2Q128_8	W2Q128_9	W2Q128_10	W2Q129A	W2Q129B	W2Q129C	W2Q129D	W2Q129E	W2Q129F	W2Q129G	W2Q129H	W2Q129I	W2Q129J	W2Q129K	W2Q130_1	W2Q130_2	W2Q130_3	W2Q130_4	W2Q130_5	W2Q130_6	W2Q130_7	W2Q130_8	W2Q130_9	W2Q130_10	W2Q131A	W2Q131B	W2Q131C	W2Q131D	W2Q131E	W2Q131F	W2Q131G	W2Q131H	W2Q131I	W2Q132_1	W2Q132_2	W2Q132_3	W2Q132_4	W2Q132_5	W2Q132_6	W2Q132_7	W2Q132_8	W2Q132_9	W2Q132_10	W2Q133A	W2Q133B	W2Q133C	W2Q133D	W2Q133E	W2Q133F	W2Q133G	W2Q133H	W2Q133I	W2Q133J	W2Q133K	W2Q133L	W2Q133M	W2Q133N	W2Q133O	W2Q134_1	W2Q134_2	W2Q134_3	W2Q134_4	W2Q134_5	W2Q134_6	W2Q134_7	W2Q134_8	W2Q134_9	W2Q134_10	W2Q134_11	W2Q134_12	W2Q135A	W2Q135B	W2Q135C	W2Q135D	W2Q135E	W2Q135F	W2Q135G	W2Q135H	W2Q135I	W2Q135J	W2Q135K	W2Q135L	W2Q136	W2Q137	W2Q138	W2Q139	W2Q140	W2Q141	W2Q142	W2Q143	W2Q144	W2Q145	W2Q146A	W2Q146B	W2Q146C	W2Q146D	W2Q146E	W2Q146F	W2Q146G	W2Q146H	W2Q146I	W2Q146J	W2Q147_T_VERB	W2Q148A	W2Q148B	W2Q148C	W2Q149	W2Q150	W2Q151	W2Q152	W2Q153	W2Q154	W2Q155	W2Q156	W2Q157A	W2Q157B	W2Q157C	W2Q157D	W2Q157E	W2Q157F	W2Q158A	W2Q158B	W2Q158C	W2Q158D	W2Q159	W2Q160A	W2Q160B	W2Q160C	W2Q160D	W2Q160E	W2Q160F	W2Q161A	W2Q161B	W2Q161C	W2Q161D	W1GENDER	W1SEX	W2AGE	W2AUDITC	W2AUDITC_I	W2BISTIGMA	W2BISTIGMA_I	W2CONNECTEDNESS	W2CONNECTEDNESS_I	W2DUDIT	W2DUDIT_I	W2EVERYDAY	W2EVERYDAY_I	W2FELTSTIGMA	W2FELTSTIGMA_I	W2GENDER	W2IDCENTRAL	W2IDCENTRAL_I	W2INTERNALIZED	W2INTERNALIZED_I	W2KESSLER6	W2KESSLER6_I	W2SEXMINID	W2SEXUALID	W2SOCIALWB	W2SOCIALWB_I	W2SOCSUPPORT	W2SOCSUPPORT_FAM	W2SOCSUPPORT_FAM_I	W2SOCSUPPORT_FR	W2SOCSUPPORT_FR_I	W2SOCSUPPORT_I	W2SOCSUPPORT_SO	W2SOCSUPPORT_SO_I
151339842	.2336413926472	3	3	2	1	2	MASKED BY ICPSR	1	1	99999	99	1	1	15.0922030076	0	20958	7	7	2	2	4	6	5	3	6	5	3	3	5	2	2	5	5	4	1	1	1	1	2	3	 	 	2	 	 	 	1	4	1	1	2	4	3	5	4	2	2	2	2	2	2	2	2	2	2	3	2	2	2	97	7	97	 	7	7	7	7	7	7	7	7	7	97	7	7	7	2	1	7	7	2	2	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	 	 	 	 	3	1	 	 	 	 	 	 	 	6	2	1	2	2	2	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	 	9	10	 	 	 	 	 	0	1	1	1	1	4	2	4	2	 	1	1	 	 	 	 	 	 	 	 	 	11	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	4	4	4	5	4	4	4	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	3	3	1	2	3	2	3	3	1	1	1	1	1	2	7	7	7	7	7	1	1	1	1	1	1	7	7	7	7	7	7	97	97	97	97	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	1	2	2	2	2	2	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	2	2	3	2	3	3	2	3	3	 	 	 	 	 	 	 	 	 	 	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	5	5	5	5	6	5	5	5	5	4	5	5	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	2	1	4	5	5	4	3	6	2	 	2	2	 	 	5	3	2	2	2	1	 	1	 	 	 	2	2	1	1	2	2	59	3	3	7	7	2.8571429252625	2.8571429252625	0	0	2.4444444179535	2.4444444179535	2.6666667461395	2.6666667461395	2	4.1999998092651	4.1999998092651	1	1	5	5	1	3	4.9333333969116	4.9333333969116	5	5	5	5	5	5	5	5
151351600	.8047747250165	2	2	2	1	1	MASKED BY ICPSR	1	1	99999	99	7	3	18.2006069649	0	21070	7	8	2	3	3	3	4	3	5	5	4	3	4	4	4	4	3	3	1	1	1	1	2	3	 	 	 	 	 	5	2	4	2	3	3	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	9	2	3	 	1	1	1	1	2	1	5	1	1	5	5	5	5	7	7	7	7	2	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	1	2	3	 	 	 	2	1	 	 	1	2	3	4	5	 	3	1	1	1	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	7	 	 	 	 	 	 	14	 	2	2	5	6	2	3	2	3	2	8	 	 	2	 	 	 	 	 	 	 	 	 	12	 	 	 	 	 	 	 	 	21	 	23	 	1	2	3	3	3	3	3	3	3	0	2	3	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	7	1	1	1	1	1	3	3	4	2	4	1	2	3	1	2	7	7	7	7	7	1	1	1	1	1	1	7	7	7	7	7	7	97	97	97	97	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	2	2	2	2	2	2	2	2	2	2	2	7	7	7	7	7	7	97	97	97	97	2	2	2	2	3	3	2	3	4	 	2	 	4	 	 	7	8	 	 	1	1	2	1	0	0	1	0	1	0	0	2	1	0	0	1	 	 	 	 	 	 	 	 	 	 	 	6	6	6	6	6	6	6	6	6	6	6	6	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	4	4	6	6	6	6	6	3	1	1	1	 	 	 	3	2	1	1	1	 	1	 	 	 	 	1	1	1	1	2	2	37	3	3	7	7	3	3	5	5	2.4444444179535	2.4444444179535	2.3333332538605	2.3333332538605	2	4	4	2.2000000476837	2.2000000476837	12	12	1	3	4.1999998092651	4.1999998092651	6	6	6	6	6	6	6	6
151427290	.4576096333535	3	2	2	1	2	MASKED BY ICPSR	1	1	99999	99	4	2	12.7658380494	0	20958	8	9	1	6	6	6	4	2	7	7	1	1	1	3	2	5	5	2	1	1	1	1	1	4	 	 	2	 	 	 	4	4	5	5	2	5	6	5	5	2	2	2	1	2	2	2	2	2	2	2	2	3	2	97	7	97	 	7	7	7	7	7	7	7	7	7	97	7	7	7	2	2	7	7	1	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	 	 	 	5	MASKED BY ICPSR	3	 	 	3	 	 	 	 	 	6	4	1	4	2	2	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	5	6	7	 	9	 	11	 	13	 	 	1	0	1	1	1	4	2	4	2	9	2	 	2	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 	 	 	2	2	5	5	5	5	4	5	3	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	7	1	4	3	3	4	4	2	5	3	1	1	1	1	1	1	3	4	3	4	4	1	2	1	1	4	1	 	2	 	 	 	 	 	 	 	 	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	2	2	2	1	1	2	1	2	2	1	2	 	2	 	 	 	 	 	 	9	 	3	3	3	3	4	3	2	3	4	1	2	 	 	 	 	 	8	9	 	1	0	1	0	0	0	1	2	0	0	1	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	7	7	6	5	7	6	6	5	7	7	5	7	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	1	1	7	7	7	7	3	5	1	0	4	0	0	0	5	5	0	0	2	0	0	2	0	0	0	2	1	0	0	1	1	54	3	3	3.5	3.5	2.8571429252625	2.8571429252625	0	0	1.888888835907	1.888888835907	2	2	1	5.1999998092651	5.1999998092651	1	1	1	1	2	4	4.8000001907349	4.8000001907349	6.25	5.25	5.25	6.5	6.5	6.25	7	7
151431818	1.0133080656118	1	1	1	5	1	MASKED BY ICPSR	1	1	99999	99	9	4	7.1388731794	0	20916	5	8	2	7	1	1	2	6	2	2	7	6	6	3	5	1	2	5	1	1	1	1	2	4	 	 	 	 	 	5	3	3	2	2	5	2	1	1	1	2	2	2	2	2	2	3	3	3	4	4	3	3	1	1	1	1	 	2	4	2	2	2	2	4	1	1	6	5	5	5	7	7	7	7	1	1	3	 	 	 	4	 	 	 	 	 	 	 	 	 	 	1	7	7	7	7	7	 	3	1	 	 	 	 	 	 	 	6	2	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	2	2	1	1	1	5	2	4	5	15	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	3	3	3	3	2	2	1	0	1	3	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	3	3	 	4	1	1	5	1	3	2	3	3	1	1	1	1	2	4	5	1	1	1	1	1	1	7	7	7	7	7	7	97	97	97	97	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	2	2	2	2	2	2	2	2	2	2	2	7	7	7	7	7	7	97	97	97	97	4	4	4	2	4	1	4	4	4	 	 	 	 	 	 	 	 	 	 	2	1	0	0	1	0	1	0	2	2	1	0	1	0	2	 	 	 	 	 	 	 	 	 	 	 	 	6	6	1	1	7	2	2	1	2	7	2	2	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	3	3	5	3	3	4	7	1	0	0	0	0	0	1	0	0	0	0	 	97	97	97	97	97	7	97	97	97	97	2	2	20	0	0	2	2	1.7142856121063	1.7142856121063	0	0	1.5555555820465	1.5555555820465	1	1	2	1.3999999761581	1.3999999761581	2.4000000953674	2.4000000953674	14	14	2	4	3.0666666030884	3.0666666030884	3.25	1.25	1.25	2	2	3.25	6.5	6.5
151482528	.5620716814347	3	4	2	1	1	MASKED BY ICPSR	1	1	99999	99	7	3	27.5848012327	0	20908	8	8	2	2	5	6	6	2	6	6	1	1	4	6	1	1	5	3	1	1	1	1	2	3	 	 	2	 	 	 	1	4	1	1	2	4	5	5	5	2	2	2	2	2	2	2	2	2	2	2	1	1	1	20	2	3	 	1	1	2	2	2	1	5	1	1	6	5	5	5	7	7	7	7	2	2	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	 	 	 	 	3	 	 	3	 	2	3	4	5	 	2	1	2	2	2	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	0	0	1	1	1	5	2	4	0	0	0	1	 	 	 	 	 	 	 	 	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	5	5	4	5	5	5	4	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	4	4	4	4	4	1	4	3	1	2	7	7	7	7	7	1	1	1	1	1	1	7	7	7	7	7	7	97	97	97	97	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	2	2	2	2	2	2	2	2	2	2	2	7	7	7	7	7	7	97	97	97	97	4	4	4	4	4	4	4	4	4	7	7	7	7	7	7	97	97	97	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	7	7	7	7	7	7	7	5	6	6	6	6	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	1	1	6	6	6	5	4	3	2	1	0	0	0	0	3	1	1	1	3	2	1	0	0	0	0	3	1	1	1	2	2	55	5	5	7	7	3.2857141494751	3.2857141494751	0	0	1	1	3.3333332538605	3.3333332538605	2	4.8000001907349	4.8000001907349	2.5999999046326	2.5999999046326	1	1	1	3	5.4000000953674	5.4000000953674	6.5	6.25	6.25	6.5	6.5	6.5	6.75	6.75
151483851	.4610191573108	2	4	2	1	1	MASKED BY ICPSR	1	1	99999	99	2	1	.4616935319	0	20912	8	9	1	1	7	1	2	2	4	7	2	1	2	6	6	1	6	2	2	2	2	2	2	3	 	 	2	 	 	 	1	4	1	1	2	5	2	5	5	2	2	2	2	2	2	1	1	1	1	1	1	4	1	2	2	3	 	2	4	2	2	 	1	4	1	2	5	6	5	6	7	7	7	7	1	2	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	1	2	 	 	 	 	3	 	2	3	 	2	 	 	 	 	2	1	4	2	2	1	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	4	 	6	7	8	 	10	11	 	 	 	 	0	0	2	3	3	3	2	3	0	0	0	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	2	2	3	5	4	5	4	5	3	0	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	2	1	1	2	3	2	5	3	1	1	1	1	1	2	7	7	7	7	7	1	1	1	1	4	1	 	 	 	4	 	 	7	8	 	 	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	1	2	2	2	2	2	2	2	2	2	2	 	 	 	 	 	 	7	 	 	 	2	2	2	4	3	3	2	2	3	 	 	 	4	5	 	7	8	 	 	2	2	1	0	0	0	0	1	0	1	1	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	5	6	6	4	6	5	5	4	7	5	5	6	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	1	2	7	7	7	7	7	13	0	1	3	9	 	 	0	10	4	0	11	0	1	3	7	 	 	0	9	3	0	2	2	39	5	5	7	7	3.5714285373688	3.5714285373688	0	0	2.4444444179535	2.4444444179535	2	2	2	4.4000000953674	4.4000000953674	1	1	4	4	1	3	4.2666668891907	4.2666668891907	5.3333334922791	4.75	4.75	5.75	5.75	5.3333334922791	5.5	5.5
151553159	1.7007547408025	1	2	2	1	1	MASKED BY ICPSR	7.4	7.400000095367	99999	99	3	2	51.5767578206	0	20909	7	10	2	7	7	5	5	3	6	7	4	1	4	5	6	1	5	3	1	1	1	1	2	4	 	1	2	 	 	 	3	4	3	4	1	6	4	6	6	2	1	2	1	1	1	2	1	1	2	1	1	1	2	97	7	97	 	7	7	7	7	7	7	7	7	7	97	7	7	7	3	4	3	3	2	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	1	 	 	 	 	 	2	 	2	 	1	2	 	 	 	 	1	4	5	2	2	1	2	 	 	 	 	5	6	 	8	 	 	11	 	 	 	 	 	 	3	 	 	6	 	 	 	10	11	 	 	 	 	1	1	2	2	2	3	2	3	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	5	4	5	4	5	3	0	2	1	5	3	2	1	1	1	1	2	1	1	1	1	1	1	1	7	1	3	2	1	1	2	1	5	2	1	1	1	1	1	1	4	4	3	3	4	1	1	1	1	3	1	 	 	 	 	 	 	 	 	 	 	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	1	2	2	1	2	2	1	1	2	2	2	 	 	 	 	 	6	 	 	 	 	4	4	3	4	3	4	2	3	3	 	 	 	 	 	 	7	 	 	 	1	1	2	0	0	0	0	1	1	0	2	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	6	6	7	6	6	6	6	5	6	5	7	6	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	1	1	4	5	6	7	3	12	2	0	8	2	0	0	12	0	5	 	12	2	0	8	2	0	0	10	1	5	3	2	2	25	3	3	3.5	3.5	3.7142858505249	3.7142858505249	8	8	1.6666667461395	1.6666667461395	1.3333333730698	1.3333333730698	2	5.5999999046326	5.5999999046326	1	1	4	4	2	4	4.5999999046326	4.5999999046326	6	6.25	6.25	6	6	6	5.75	5.75
151554689	.4299501184881	2	3	2	1	1	MASKED BY ICPSR	1	1	99999	99	1	1	10.6419850853	0	20910	6	98	2	4	4	4	4	4	4	6	4	2	2	6	6	4	4	1	1	1	1	1	1	4	 	1	2	 	 	 	4	3	5	5	1	6	5	6	6	2	2	2	2	2	2	3	1	3	1	1	1	1	2	97	7	97	 	7	7	7	7	7	7	7	7	7	97	7	7	7	3	4	4	2	2	1	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	 	 	 	 	3	1	 	 	1	2	 	 	 	 	3	2	2	2	2	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	 	 	 	 	5	 	 	8	 	 	 	 	 	 	 	1	1	1	1	3	4	2	4	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	4	4	5	5	3	5	4	1	2	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	4	1	5	2	1	1	1	1	1	1	3	3	4	4	4	1	1	1	1	1	1	7	7	7	7	7	7	97	97	97	97	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	2	2	2	2	1	1	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	3	3	3	3	3	3	3	2	4	 	 	 	 	 	 	 	 	 	 	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	6	6	7	7	6	6	7	7	7	6	7	7	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	1	1	4	4	6	6	4	3	0	0	3	0	0	0	3	1	2	2	3	2	0	1	0	0	0	3	1	1	1	1	1	36	4	4	3.5	3.5	3.4285714626312	3.4285714626312	4	4	2	2	1.3333333730698	1.3333333730698	1	5.8000001907349	5.8000001907349	1	1	4	4	2	4	3.6666667461395	3.6666667461395	6.5833334922791	7	7	6.75	6.75	6.5833334922791	6	6
151557770	1.1606688117717	1	3	2	6	1	MASKED BY ICPSR	1	1	99999	99	9	4	4.0821023024	0	20923	8	10	1	1	7	7	2	3	3	7	2	1	3	2	2	2	1	5	1	1	1	1	1	2	 	1	 	 	 	 	4	1	1	1	1	5	4	5	5	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	4	 	1	4	2	2	1	2	5	1	1	5	6	6	6	7	7	7	7	1	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	1	2	 	 	 	 	3	1	 	 	1	2	3	 	 	 	2	6	1	1	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	1	1	3	2	2	5	0	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	4	5	4	5	5	5	5	1	2	3	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	2	1	5	1	1	2	1	1	1	2	7	7	7	7	7	1	1	1	1	3	1	 	2	 	4	 	 	7	 	 	 	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	1	2	2	2	2	2	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	2	2	2	2	4	2	2	3	3	1	2	 	4	5	 	7	 	 	 	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	 	2	 	4	 	 	 	 	 	 	 	 	7	7	7	7	7	7	7	7	7	7	7	7	2	7	97	7	97	97	7	7	7	7	7	7	7	7	7	7	7	7	7	7	 	97	7	97	2	3	6	5	6	6	7	3	1	1	1	 	 	 	1	2	1	0	2	2	0	0	0	0	0	2	1	0	0	1	1	27	5	5	7	7	4	4	4	4	2.5555555820465	2.5555555820465	1	1	1	5	5	1.2000000476837	1.2000000476837	2	2	1	2	5.5999999046326	5.5999999046326	7	7	7	7	7	7	7	7
151633654	.3926093128641	3	2	2	1	1	MASKED BY ICPSR	4	4	99999	99	4	2	154.7603717865	1	20912	7	7	2	2	6	5	5	3	6	7	2	1	4	5	6	4	5	3	1	1	1	1	1	2	 	1	 	 	 	 	4	2	5	5	4	2	2	6	6	2	2	2	2	2	2	1	1	1	1	1	1	1	1	21	1	2	 	1	1	1	1	2	1	4	1	4	6	6	5	5	7	7	7	7	1	1	1	 	 	3	 	 	 	 	 	 	 	 	 	 	 	2	1	2	3	4	 	 	3	1	 	 	 	 	 	 	 	6	3	2	1	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	1	1	2	4	2	4	0	0	0	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	5	5	5	5	5	5	5	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	2	3	3	3	3	1	1	1	1	2	7	7	7	7	7	1	1	1	1	2	1	 	 	 	 	 	 	7	8	 	 	1	1	7	7	7	7	7	7	97	97	97	97	1	7	7	7	7	7	7	97	97	7	7	2	2	2	2	2	2	2	2	2	2	2	7	7	7	7	7	7	97	97	97	97	3	3	3	3	3	3	2	3	3	 	 	 	4	 	 	7	 	 	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	6	6	6	6	6	6	6	4	6	6	4	4	1	3	 	 	35	30	0	0	0	3	2	2	2	2	2	2	2	1	 	 	 	3	0	0	7	7	5	5	5	5	4	8	3	1	5	0	0	0	8	 	5	4	0	97	97	97	97	97	7	97	97	97	97	1	1	61	5	5	7	7	4	4	0	0	2.111111164093	2.111111164093	3	3	1	3.7999999523163	3.7999999523163	1.3999999761581	1.3999999761581	0	0	1	2	4.8000001907349	4.8000001907349	5.5	5	5	5.5	5.5	5.5	6	6
